redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_cloud_storage_housekeeping_requests_throttled_average_rate,redpanda.cloud.storage_housekeeping_requests_throttled_average_rate,gauge,,,,Average rate (per shard) of requests that were throttled during object storage operations.,,redpanda,,
redpanda_cloud_storage_housekeeping_resumes,redpanda.cloud.storage.housekeeping.resumes,gauge,,,,Number of times when object storage upload housekeeping resumed after a pause.,-1,redpanda,cloud storage housekeeping resumes,
redpanda_cloud_storage_housekeeping_rounds,redpanda.cloud.storage.housekeeping.rounds,count,,,,Number of upload housekeeping rounds,-1,redpanda,cloud storage housekeeping rounds,
redpanda_cloud_storage_jobs_cloud_segment_reuploads,redpanda.cloud.storage.jobs.cloud_segment_reuploads,gauge,,,,Number of segment reuploads from cloud storage sources (cloud storage cache or direct download from cloud storage),-1,redpanda,cloud storage jobs cloud segment reuploads,
redpanda_cloud_storage_jobs_local_segment_reuploads,redpanda.cloud.storage.jobs.local_segment_reuploads,gauge,,,,Number of segment reuploads from local data directory,-1,redpanda,cloud storage jobs local segment reuploads,
redpanda_cloud_storage_jobs_manifest_reuploads,redpanda.cloud.storage.jobs.manifest_reuploads,gauge,,,,Number of manifest reuploads performed by all housekeeping jobs,-1,redpanda,cloud storage jobs manifest reuploads,
redpanda_cloud_storage_jobs_metadata_syncs,redpanda.cloud.storage.jobs.metadata_syncs,gauge,,,,Number of archival configuration updates performed by all housekeeping jobs,-1,redpanda,cloud storage jobs metadata syncs,
redpanda_cloud_storage_jobs_segment_deletions,redpanda.cloud.storage.jobs.segment_deletions,gauge,,,,Number of segments deleted by all housekeeping jobs,-1,redpanda,cloud storage jobs segment deletions,
redpanda_cloud_storage_limits_downloads_throttled_sum,redpanda.cloud.storage_limits_downloads_throttled_sum,count,,,,Total cumulative time (in milliseconds) during which downloads were throttled.,-1,redpanda,,
redpanda_cloud_storage_partition_manifest_uploads_total,redpanda.cloud.storage_partition_manifest_uploads,count,,,,Total number of successful partition manifest uploads to object storage.,-1,redpanda,,
redpanda_cloud_storage_partition_readers,redpanda.cloud.storage_partition_readers,gauge,,,,Number of active partition reader instances (fetch/timequery operations) reading from Tiered Storage.,-1,redpanda,,
redpanda_cloud_storage_partition_readers_delayed,redpanda.cloud.storage_partition_readers_delayed,count,,,,"Count of partition read operations delayed due to reaching the reader limit, suggesting potential saturation of Tiered Storage reads.",-1,redpanda,,
redpanda_cloud_storage_paused_archivers,redpanda.cloud.storage_paused_archivers,gauge,,,,Number of paused archivers.,,redpanda,,
redpanda_cloud_storage_readers,redpanda.cloud.storage.readers,gauge,,,,Total number of segments pending deletion from the cloud for the topic,-1,redpanda,cloud storage readers,
redpanda_cloud_storage_segment_index_uploads_total,redpanda.cloud.storage_segment_index_uploads,count,,,,Total number of successful segment index uploads to object storage.,-1,redpanda,,
redpanda_cloud_storage_segment_materializations_delayed,redpanda.cloud.storage_segment_materializations_delayed,count,,,,Count of segment materialization operations that were delayed because of reader limit constraints.,,redpanda,,
redpanda_cloud_storage_segment_readers_delayed,redpanda.cloud.storage_segment_readers_delayed,count,,,,Count of segment reader operations delayed due to reaching the reader limit. This indicates a cluster is saturated with Tiered Storage reads.,-1,redpanda,,
redpanda_cloud_storage_segment_uploads_total,redpanda.cloud.storage_segment_uploads,count,,,,Total number of successful data segment uploads to object storage.,-1,redpanda,,
redpanda_cloud_storage_segments,redpanda.cloud.storage.segments,gauge,,,,Total number of uploaded bytes for the topic,-1,redpanda,cloud storage segments,
redpanda_cloud_storage_segments_pending_deletion,redpanda.cloud.storage.segments_pending_deletion,gauge,,,,Number of read cursors for hydrated remote log segments,-1,redpanda,cloud storage segments pending deletion,
redpanda_cloud_storage_spillover_manifest_uploads_total,redpanda.cloud.storage_spillover_manifest_uploads,count,,,,Total number of successful spillover manifest uploads to object storage.,-1,redpanda,,
redpanda_cloud_storage_spillover_manifests_materialized_bytes,redpanda.cloud.storage_spillover_manifests_materialized_bytes,gauge,,,,Total bytes of memory used by spilled manifests that are currently cached in memory.,,redpanda,,
redpanda_cloud_storage_spillover_manifests_materialized_count,redpanda.cloud.storage_spillover_manifests_materialized_count,gauge,,,,Count of spilled manifests currently held in memory cache.,,redpanda,,
redpanda_cloud_storage_uploaded_bytes,redpanda.cloud.storage.uploaded_bytes,count,,byte,,Total number of accounted segments in the cloud for the topic,-1,redpanda,cloud storage uploaded bytes,
redpanda_cluster_brokers,redpanda.cluster.brokers,gauge,,,,Number of configured brokers in the cluster,-1,redpanda,cluster brokers,
redpanda_cluster_controller_log_limit_requests_available_rps,redpanda.controller.log_limit_requests_available,gauge,,request,,Controller log rate limiting. Available rps for group,-1,redpanda,controller log limit requests available ,
redpanda_cluster_controller_log_limit_requests_dropped,redpanda.controller.log_limit_requests_dropped,count,,request,,Controller log rate limiting. Amount of requests that are dropped due to exceeding limit in group,-1,redpanda,controller log limit requests dropped ,
redpanda_cluster_features_enterprise_license_expiry_sec,redpanda.cluster.features_enterprise_license_expiry_sec,gauge,,,,Number of seconds remaining until the Enterprise Edition license expires.,,redpanda,,
redpanda_cluster_latest_cluster_metadata_manifest_age,redpanda.cluster.latest_cluster_metadata_manifest_age,gauge,,,,The amount of time in seconds since the last time Redpanda uploaded metadata files to Tiered Storage for your cluster. A value of 0 indicates metadata has not yet been uploaded.,-1,redpanda,manifest_age,
redpanda_cluster_members_backend_queued_node_operations,redpanda.cluster.members_backend_queued_node_operations,gauge,,,,Number of queued node operations.,,redpanda,,
redpanda_cluster_non_homogenous_fips_mode,redpanda.cluster.non_homogenous_fips_mode,gauge,,,,Count of brokers whose FIPS mode configuration differs from the rest of the cluster.,,redpanda,,
redpanda_cluster_partitions,redpanda.cluster.partitions,gauge,,,,Total number of logical partitions managed by the cluster. This includes partitions for the controller topic but excludes replicas.,-1,redpanda,cluster partitions ,
redpanda_cluster_partition_moving_from_node,redpanda.partitions.moving_from_node,gauge,,,,Number of partition replicas that are in the process of being removed from a broker.,-1,redpanda,partitions moving from node ,
redpanda_cluster_partition_moving_to_node,redpanda.partitions.moving_to_node,gauge,,,,Number of partition replicas in the cluster currently being added or moved to a broker.,-1,redpanda,partitions moving to node ,
redpanda_cluster_partition_node_cancelling_movements,redpanda.partitions.node_cancelling_movements,gauge,,,,"During a partition movement cancellation operation, the number of partition replicas that were being moved that now need to be canceled.",-1,redpanda,partitions node cancelling movements ,
redpanda_cluster_partition_num_with_broken_rack_constraint,redpanda.cluster.partition_num_with_broken_rack_constraint,gauge,,,,Number of partitions that don't satisfy the rack awareness constraint,-1,redpanda,cluster partition num with broken rack constraint,
redpanda_cluster_partition_schema_id_validation_records_failed,redpanda.cluster.partition_schema_id_validation_records_failed,count,,,,Count of records that failed schema ID validation during ingestion.,,redpanda,,
redpanda_cluster_topics,redpanda.cluster.topics,gauge,,,,Number of topics in the cluster,-1,redpanda,cluster topics,
redpanda_cluster_unavailable_partitions,redpanda.cluster.unavailable_partitions,gauge,,,,Number of partitions that are unavailable due to a lack of quorum among their replica set.,-1,redpanda,cluster unavailable partitions,
redpanda_cpu_busy_seconds_total,redpanda.reactor.cpu_busy_seconds,gauge,,second,,Total CPU busy time in seconds,-1,redpanda,reactor cpu busy seconds ,
redpanda_debug_bundle_failed_generation_count,redpanda.debug_bundle.failed_generation_count,count,,,,"Running count of debug bundle generation failures, reported per shard.",,redpanda,,
redpanda_debug_bundle_last_failed_bundle_timestamp_seconds,redpanda.debug_bundle.last_failed_bundle_timestamp_seconds,gauge,,,,"Unix epoch timestamp of the last failed debug bundle generation, per shard.",,redpanda,,
redpanda_debug_bundle_last_successful_bundle_timestamp_seconds,redpanda.debug_bundle.last_successful_bundle_timestamp_seconds,gauge,,,,"Unix epoch timestamp of the last successfully generated debug bundle, per shard.",,redpanda,,
