redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_schema_registry_cache_subject_version_count,redpanda.schema_registry.cache_subject_version_count,gauge,,,,Count of versions available for each subject in the Schema Registry cache.,,redpanda,,
redpanda_schema_registry_inflight_requests_memory_usage_ratio,redpanda.schema_registry.inflight_requests_memory_usage_ratio,gauge,,,,"Ratio of memory used by in-flight requests in the Schema Registry, reported per shard.",,redpanda,,
redpanda_schema_registry_inflight_requests_usage_ratio,redpanda.schema_registry.inflight_requests_usage_ratio,gauge,,,,"Usage ratio for in-flight Schema Registry requests, reported per shard.",,redpanda,,
redpanda_schema_registry_queued_requests_memory_blocked,redpanda.schema_registry.queued_requests_memory_blocked,gauge,,,,"Count of Schema Registry requests queued due to memory constraints, reported per shard.",,redpanda,,
redpanda_schema_registry_request_errors_total,redpanda.schema_registry.errors,count,,error,,Total number of schema_registry server errors,-1,redpanda,schema registry errors ,
redpanda_schema_registry_request_latency_seconds,redpanda.schema_registry.latency_seconds,histogram,,second,,Histogram capturing the latency (in seconds) for Schema Registry requests.,-1,redpanda,schema registry latency seconds ,
redpanda_security_audit_errors_total,redpanda.security.audit_errors,count,,,,Cumulative count of errors encountered when creating or publishing audit event log entries.,,redpanda,,
redpanda_security_audit_last_event_timestamp_seconds,redpanda.security.audit_last_event_timestamp_seconds,count,,,,Unix epoch timestamp of the last successful audit log event publication.,,redpanda,,
redpanda_storage_cache_disk_free_bytes,redpanda.storage.cache_disk_free_bytes,gauge,,,,Amount of free disk space (in bytes) available on the cache storage.,,redpanda,,
redpanda_storage_cache_disk_free_space_alert,redpanda.storage.cache_disk_free_space_alert,gauge,,,,"Alert indicator for cache storage free space, where: 0 = OK, 1 = Low space, 2 = Degraded",,redpanda,,
redpanda_storage_disk_free_bytes,redpanda.storage.disk_free_bytes,gauge,,byte,,Amount of free disk space (in bytes) available on attached storage.,-1,redpanda,storage disk free bytes ,
redpanda_storage_disk_free_space_alert,redpanda.storage.disk_free_space_alert,gauge,,,,"Alert indicator for overall disk storage free space, where: 0 = OK, 1 = Low space, 2 = Degraded",-1,redpanda,storage disk free space alert ,
redpanda_storage_disk_total_bytes,redpanda.storage.disk_total_bytes,gauge,,byte,,"Total size of attached storage, in bytes.",-1,redpanda,storage disk total bytes ,
redpanda_tls_certificate_expires_at_timestamp_seconds,redpanda.tls.certificate_expires_at_timestamp_seconds,gauge,,,,Unix epoch timestamp for the expiration of the shortest-lived installed TLS certificate.,,redpanda,,
redpanda_tls_certificate_serial,redpanda.tls.certificate_serial,gauge,,,,The least significant 4 bytes of the serial number for the certificate that will expire next.,,redpanda,,
redpanda_tls_certificate_valid,redpanda.tls.certificate_valid,gauge,,,,Indicator of whether a resource has at least one valid TLS certificate installed. Returns 1 if a valid certificate is present and 0 if not.,,redpanda,,
redpanda_tls_loaded_at_timestamp_seconds,redpanda.tls.loaded_at_timestamp_seconds,gauge,,,,Unix epoch timestamp marking the last time a TLS certificate was loaded for a resource.,,redpanda,,
redpanda_tls_truststore_expires_at_timestamp_seconds,redpanda.tls.truststore_expires_at_timestamp_seconds,gauge,,,,Unix epoch timestamp representing the expiration time of the shortest-lived certificate authority (CA) in the installed truststore.,,redpanda,,
redpanda_transform_execution_errors,redpanda.transform.execution_errors,count,,,,Counter for the number of errors encountered during the invocation of data transforms.,,redpanda,,
redpanda_transform_execution_latency_sec,redpanda.transform.execution_latency_sec,histogram,,,,Histogram tracking the execution latency (in seconds) for processing a single record via data transforms.,,redpanda,,
redpanda_transform_failures,redpanda.transform.failures,count,,,,Counter for each failure encountered by a data transform processor.,,redpanda,,
redpanda_transform_processor_lag,redpanda.transform.processor_lag,count,,,,Number of records pending processing in the input topic for a data transform.,,redpanda,,
redpanda_transform_read_bytes,redpanda.transform.read_bytes,count,,,,Cumulative count of bytes read as input to data transforms.,,redpanda,,
redpanda_transform_state,redpanda.transform.state,gauge,,,,"Current count of transform processors in a specific state (running, inactive, or errored).",,redpanda,,
redpanda_transform_write_bytes,redpanda.transform.write_bytes,count,,,,Cumulative count of bytes output from data transforms.,,redpanda,,
redpanda_wasm_binary_executable_memory_usage,redpanda.wasm.binary_executable_memory_usage,gauge,,,,Amount of memory (in bytes) used by executable WebAssembly binaries.,,redpanda,,
redpanda_wasm_engine_cpu_seconds_total,redpanda.wasm.engine_cpu_seconds,count,,,,Total CPU time (in seconds) consumed by WebAssembly functions.,,redpanda,,
redpanda_wasm_engine_max_memory,redpanda.wasm.engine_max_memory,gauge,,,,Maximum allowed memory (in bytes) allocated for a WebAssembly function.,,redpanda,,
redpanda_wasm_engine_memory_usage,redpanda.wasm.engine_memory_usage,gauge,,,,Current memory usage (in bytes) by a WebAssembly function.,,redpanda,,
